word	onset	duration
J'avais	0.7	0.25
ainsi	1.0	0.25
appris	1.3	0.25
une	1.6	0.25
seconde	1.9000000000000001	0.25
chose	2.2	0.25
très	2.5	0.25
importante:	2.8000000000000007	0.25
c'est	3.1000000000000005	0.25
que	3.4000000000000004	0.25
sa	3.7	0.25
planète	4.000000000000001	0.25
d'origine	4.300000000000001	0.25
était	4.6000000000000005	0.25
à	4.900000000000001	0.25
peine	5.200000000000001	0.25
plus	5.500000000000001	0.25
grande	5.800000000000001	0.25
qu'une	6.1000000000000005	0.25
maison!	6.400000000000001	0.25
Ça	7.200000000000001	0.25
ne	7.500000000000001	0.25
pouvait	7.800000000000002	0.25
pas	8.100000000000001	0.25
m'étonner	8.400000000000002	0.25
beaucoup.	8.700000000000001	0.25
Je	9.5	0.25
savais	9.8	0.25
bien	10.100000000000001	0.25
qu'en	10.4	0.25
dehors	10.700000000000001	0.25
des	11.0	0.25
grosses	11.3	0.25
planètes	11.600000000000001	0.25
comme	11.9	0.25
la	12.200000000000001	0.25
terre,	12.5	0.25
jupiter,	12.8	0.25
mars,	13.100000000000001	0.25
vénus,	13.4	0.25
auxquelles	13.700000000000001	0.25
on	14.000000000000002	0.25
a	14.3	0.25
donné	14.600000000000001	0.25
des	14.900000000000002	0.25
noms,	15.200000000000001	0.25
il	15.500000000000002	0.25
y	15.8	0.25
en	16.1	0.25
a	16.400000000000002	0.25
des	16.700000000000003	0.25
centaines	17.000000000000004	0.25
d'autres	17.3	0.25
qui	17.6	0.25
sont	17.900000000000002	0.25
quelquefois	18.200000000000003	0.25
si	18.500000000000004	0.25
petites	18.8	0.25
qu'on	19.1	0.25
a	19.400000000000002	0.25
beaucoup	19.700000000000003	0.25
de	20.000000000000004	0.25
mal	20.3	0.25
à	20.6	0.25
les	20.900000000000002	0.25
apercevoir	21.200000000000003	0.25
au	21.500000000000004	0.25
télescope.	21.8	0.25
Quand	22.6	0.25
un	22.900000000000002	0.25
astronome	23.200000000000003	0.25
découvre	23.500000000000004	0.25
l'une	23.8	0.25
d'elles,	24.1	0.25
il	24.400000000000002	0.25
lui	24.700000000000003	0.25
donne	25.000000000000004	0.25
pour	25.300000000000004	0.25
nom	25.6	0.25
un	25.900000000000002	0.25
numéro.	26.200000000000003	0.25
Il	27.000000000000004	0.25
l'appelle	27.300000000000004	0.25
par	27.6	0.25
exemple:	27.900000000000002	0.25
"""l'astéroïde"	28.200000000000003	0.25
"325""."	28.500000000000004	0.25
J'ai	29.300000000000004	0.25
de	29.600000000000005	0.25
sérieuses	29.900000000000002	0.25
raisons	30.200000000000003	0.25
de	30.500000000000004	0.25
croire	30.800000000000004	0.25
que	31.100000000000005	0.25
la	31.400000000000002	0.25
planète	31.700000000000003	0.25
d'où	32.0	0.25
venait	32.300000000000004	0.25
le	32.60000000000001	0.25
petit	32.900000000000006	0.25
prince	33.2	0.25
est	33.5	0.25
l'astéroïde	33.800000000000004	0.25
